Age,Male,Female
0,0.000506183,0.000378303
1,0.000372365,0.00029564
2,0.000268607,0.000212005
3,0.000208486,0.000177968
4,0.000175516,0.000153655
5,0.00016097,0.000134205
6,0.000144485,0.000117673
7,0.000134788,0.000106975
8,0.00012994,0.000100168
9,0.00012897,9.82E-05
10,0.000125091,0.000100168
11,0.000127031,0.000106975
12,0.000148364,0.000119618
13,0.000190061,0.000137123
14,0.000247274,0.000154628
15,0.000333577,0.000176023
16,0.000441214,0.000200335
17,0.000523638,0.00022562
18,0.000566305,0.000236318
19,0.000588608,0.000242153
20,0.000605093,0.000246043
21,0.000621578,0.000251878
22,0.00064776,0.000265493
23,0.000688487,0.000286888
24,0.000738911,0.000314118
25,0.000796124,0.00034621
26,0.000858185,0.000356908
27,0.000897942,0.000362743
28,0.000935761,0.00036955
29,0.000977458,0.000379275
30,0.001028852,0.000389973
31,0.001092852,0.000403588
32,0.001172367,0.0004279
33,0.001265459,0.000467773
34,0.001370186,0.000508618
35,0.00148558,0.000543628
36,0.001610672,0.000577665
37,0.001749339,0.000617538
38,0.001889945,0.00067297
39,0.002025703,0.00073521
40,0.002185704,0.000799395
41,0.002355401,0.00086358
42,0.002556129,0.000924848
43,0.002787888,0.000997785
44,0.003043888,0.001087255
45,0.003314435,0.001197148
46,0.003601466,0.001319683
47,0.0039108,0.001449025
48,0.004248256,0.00159101
49,0.00462159,0.00175439
50,0.004980379,0.00193722
51,0.005356623,0.002146308
52,0.005759048,0.002348588
53,0.006158565,0.00254795
54,0.006549354,0.002735643
55,0.006971173,0.002938895
56,0.007456023,0.003184938
57,0.008067904,0.003500028
58,0.008808755,0.003891945
59,0.009735788,0.004346103
60,0.010611427,0.00484694
61,0.011326096,0.005330273
62,0.012210462,0.005818468
63,0.01328392,0.006376683
64,0.014527076,0.007020478
65,0.015906959,0.007773193
66,0.017349872,0.00865136
67,0.018906241,0.00967443
68,0.020675943,0.010855045
69,0.022651222,0.01219515
70,0.024781653,0.013693773
71,0.027113782,0.015336325
72,0.029592335,0.017054733
73,0.032281313,0.01899098
74,0.035165201,0.021154793
75,0.038285695,0.023597713
76,0.041612736,0.026344053
77,0.045214202,0.029371445
78,0.049127911,0.032744075
79,0.053420773,0.036439575
80,0.058125757,0.04048323
81,0.063274864,0.044939225
82,0.068821548,0.049825065
83,0.074864719,0.055235083
84,0.081311284,0.061172195
85,0.088294094,0.067703505
86,0.095879088,0.075081863
87,0.104100204,0.083116658
88,0.11319502,0.09217355
89,0.123342931,0.102134868
90,0.135018119,0.113522843
91,0.148516343,0.127216615
92,0.161901112,0.144078793
93,0.176493158,0.160512098
94,0.192399147,0.178818438
95,0.209738352,0.199213708
96,0.228641684,0.221935198
97,0.24924684,0.247247428
98,0.27171091,0.27544701
99,0.296197774,0.30686265
100,0.322892645,0.341861953
101,0.351993342,0.380852395
102,0.383716108,0.42429008
103,0.418298519,0.47268168
104,0.455996577,0.52659319
105,0.497093432,0.586652845
106,0.541893572,0.65356279
107,0.590730573,0.728103943
108,0.643970012,0.811147663
109,0.702006557,0.903661588
110,1,1
