Forward,Spot,SSAReserve,SSACapital,PM
0.0276,0.027563481,0.0375,0.0335,0.0433
0.0306,0.029075392,0.0375,0.0335,0.0433
0.0308,0.029665576,0.0375,0.0335,0.0433
0.0301,0.029778269,0.0375,0.0335,0.0433
0.0297,0.029769187,0.0375,0.0335,0.0433
0.03,0.029814301,0.0375,0.0335,0.0433
0.0302,0.029862949,0.0375,0.0335,0.0433
0.0305,0.029946221,0.0375,0.0335,0.0433
0.0313,0.030093613,0.0375,0.0335,0.0433
0.0311,0.030194456,0.0375,0.0335,0.0433
0.0313,0.030293156,0.0375,0.0335,0.0433
0.0313,0.030375418,0.0375,0.0335,0.0433
0.0313,0.030445032,0.0375,0.0335,0.0433
0.0316,0.030529553,0.0375,0.0335,0.0433
0.0312,0.030573844,0.0375,0.0335,0.0433
0.0302,0.030552589,0.0375,0.0335,0.0433
0.0304,0.030543785,0.0375,0.0335,0.0433
0.0305,0.03054066,0.0375,0.0335,0.0433
0.0304,0.030533383,0.0375,0.0335,0.0433
0.0307,0.030539534,0.0375,0.0335,0.0433
0.0289,0.0304609,0.0375,0.0335,0.0433
0.0289,0.030389398,0.0375,0.0335,0.0433
0.029,0.030327625,0.0375,0.0335,0.0433
0.029,0.030271004,0.0375,0.0335,0.0433
0.029,0.030218899,0.0375,0.0335,0.0433
0.0292,0.030180106,0.0375,0.0335,0.0433
0.0288,0.03012928,0.0375,0.0335,0.0433
0.029,0.030087845,0.0375,0.0335,0.0433
0.029,0.030049271,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
0.0291,0.030015957,0.0375,0.0335,0.0433
